,Timestamp,Product_Views,Add_to_Cart_Count,Sales_Count,Current_Price,Competitor_Price,Promotion_Active,Is_Holiday_or_Weekend,Stock_Availability
0,01-01-2024 08:00,190,56,32,24755.8,24558.14,1,0,128
1,01-01-2024 09:00,195,51,24,25210.06,25130.29,0,0,219
2,01-01-2024 10:00,205,57,29,25040.35,24491.41,1,0,172
3,01-01-2024 11:00,206,41,28,24684.41,25358.78,0,0,225
4,01-01-2024 12:00,208,44,34,25141.39,24495.93,0,0,349
5,01-01-2024 13:00,190,48,35,24854.64,24815.4,1,0,131
6,01-01-2024 14:00,208,55,40,25348.53,24922.45,1,0,136
7,01-01-2024 15:00,228,50,29,24880.42,25113.72,1,0,274
8,01-01-2024 16:00,197,48,21,24355.12,25587.39,0,0,65
9,01-01-2024 17:00,202,53,33,25133.49,24619.21,0,0,359
10,01-01-2024 18:00,203,43,35,25114.7,25255.49,1,0,407
11,01-01-2024 19:00,210,43,22,24459.43,25588.1,0,0,212
12,01-01-2024 20:00,189,52,36,25375.27,24866.29,0,0,147
13,01-01-2024 21:00,218,51,42,25349.11,24579.95,1,0,205
14,01-01-2024 22:00,188,38,34,24565.01,24107.99,1,0,51
15,01-01-2024 23:00,210,48,39,24670.19,25553.31,1,0,399
16,02-01-2024 08:00,195,58,34,24929,24702.22,0,0,446
17,02-01-2024 09:00,200,57,26,24620.57,24399.46,1,0,218
18,02-01-2024 10:00,191,46,23,25320.2,24256.67,0,0,364
19,02-01-2024 11:00,217,43,31,25074.49,24398.71,0,0,374
20,02-01-2024 12:00,199,48,28,24453.22,25167.88,0,0,424
21,02-01-2024 13:00,176,57,24,24588.76,25223.15,0,0,141
22,02-01-2024 14:00,204,50,27,25593.86,25060.85,0,0,230
23,02-01-2024 15:00,212,50,34,25767.78,24852.94,0,0,280
24,02-01-2024 16:00,226,57,32,25269.36,24301.79,0,0,350
25,02-01-2024 17:00,210,42,31,24894.36,24508.02,0,0,197
26,02-01-2024 18:00,208,61,31,24780.02,24357.35,0,0,329
27,02-01-2024 19:00,218,51,33,25274.85,25029.13,0,0,238
