Customer_ID,Group,Purchase_Value
1,Email Marketing,87.4507123
2,Email Marketing,77.92603548
3,Email Marketing,89.71532807
4,Email Marketing,102.8454478
5,Email Marketing,76.48769938
6,Email Marketing,76.48794565
7,Email Marketing,103.6881922
8,Email Marketing,91.51152094
9,Email Marketing,72.95788421
10,Email Marketing,88.13840065
11,Email Marketing,73.04873461
12,Email Marketing,73.0140537
13,Email Marketing,83.62943407
14,Email Marketing,51.30079633
15,Email Marketing,54.12623251
16,Email Marketing,71.56568706
17,Email Marketing,64.80753319
18,Email Marketing,84.71370999
19,Email Marketing,66.37963887
20,Email Marketing,58.81544448
21,Email Marketing,101.9847315
22,Email Marketing,76.61335549
23,Email Marketing,81.01292307
24,Email Marketing,58.62877721
25,Email Marketing,71.83425913
26,Email Marketing,81.66383885
27,Email Marketing,62.73509634
28,Email Marketing,85.63547028
29,Email Marketing,70.99041965
30,Email Marketing,75.62459375
31,Email Marketing,70.97440082
32,Email Marketing,107.7841728
33,Email Marketing,79.79754163
34,Email Marketing,64.13433607
35,Email Marketing,92.33817368
36,Email Marketing,61.68734525
37,Email Marketing,83.13295393
38,Email Marketing,50.60494814
39,Email Marketing,60.07720927
40,Email Marketing,82.95291854
41,Email Marketing,91.0769987
42,Email Marketing,82.57052422
43,Email Marketing,78.26527576
44,Email Marketing,75.48344457
45,Email Marketing,57.82217014
46,Email Marketing,69.20233687
47,Email Marketing,73.09041844
48,Email Marketing,95.85683339
49,Email Marketing,85.15427434
50,Email Marketing,53.55439767
51,Email Marketing,84.86125954
52,Email Marketing,74.22376579
53,Email Marketing,69.84617
54,Email Marketing,89.17514433
55,Email Marketing,95.46499284
56,Email Marketing,93.96920179
57,Email Marketing,67.41173715
58,Email Marketing,75.36181436
59,Email Marketing,84.96895147
60,Email Marketing,94.63317691
61,Email Marketing,72.81238643
62,Email Marketing,77.21511535
63,Email Marketing,63.40497539
64,Email Marketing,62.05690064
65,Email Marketing,92.18788734
66,Email Marketing,100.3436004
67,Email Marketing,78.91984818
68,Email Marketing,95.05299347
69,Email Marketing,85.42454038
70,Email Marketing,70.32320368
71,Email Marketing,85.42093408
72,Email Marketing,103.0705485
73,Email Marketing,79.46260941
74,Email Marketing,103.4696548
75,Email Marketing,40.70382344
76,Email Marketing,92.32853757
77,Email Marketing,81.30570602
78,Email Marketing,75.51488974
79,Email Marketing,81.37641165
80,Email Marketing,50.18646628
81,Email Marketing,76.70492168
82,Email Marketing,85.35668857
83,Email Marketing,102.1684107
84,Email Marketing,72.22594673
85,Email Marketing,67.87259596
86,Email Marketing,72.47364435
87,Email Marketing,93.73103177
88,Email Marketing,84.93126664
89,Email Marketing,72.05359694
90,Email Marketing,87.6990115
91,Email Marketing,81.45616324
92,Email Marketing,94.52967486
93,Email Marketing,69.46920359
94,Email Marketing,75.0850678
95,Email Marketing,74.1183777
96,Email Marketing,58.04727578
97,Email Marketing,84.44180416
98,Email Marketing,83.91582908
99,Email Marketing,80.07670185
100,Email Marketing,76.481193
101,Email Marketing,58.76943887
102,Email Marketing,73.69032016
103,Email Marketing,74.85928225
104,Email Marketing,67.96584096
105,Email Marketing,77.58071433
106,Email Marketing,86.06076285
107,Email Marketing,108.2927885
108,Email Marketing,82.61866719
109,Email Marketing,83.86325586
110,Email Marketing,78.88331126
111,Email Marketing,51.21843177
112,Email Marketing,79.60229187
113,Email Marketing,80.90345315
114,Email Marketing,116.9486317
115,Email Marketing,77.11458553
116,Email Marketing,84.52321014
117,Email Marketing,79.47932345
118,Email Marketing,62.46982944
119,Email Marketing,97.14234222
120,Email Marketing,91.27899549
121,Social Media Ads,90.82063894
122,Social Media Ads,56.8122509
123,Social Media Ads,103.0558862
124,Social Media Ads,46.96297874
125,Social Media Ads,86.73714188
126,Social Media Ads,118.8091125
127,Social Media Ads,55.1892735
128,Social Media Ads,63.67404541
129,Social Media Ads,76.9930273
130,Social Media Ads,64.93048692
131,Social Media Ads,43.98673138
132,Social Media Ads,76.3712595
133,Social Media Ads,53.75392573
134,Social Media Ads,84.47184861
135,Social Media Ads,56.61151532
136,Social Media Ads,105.9986881
137,Social Media Ads,59.33493415
138,Social Media Ads,68.55876968
139,Social Media Ads,91.27034435
140,Social Media Ads,50.38271367
141,Social Media Ads,79.54919869
142,Social Media Ads,101.1428551
143,Social Media Ads,42.85033531
144,Social Media Ads,78.69267717
145,Social Media Ads,80.19765588
146,Social Media Ads,90.63645744
147,Social Media Ads,50.26098578
148,Social Media Ads,48.59086774
149,Social Media Ads,85.43883131
150,Social Media Ads,80.93969346
151,Social Media Ads,80.00985701
152,Social Media Ads,81.92896419
153,Social Media Ads,61.39950557
154,Social Media Ads,79.64507394
155,Social Media Ads,80.86144947
156,Social Media Ads,60.71297164
157,Social Media Ads,112.3154902
158,Social Media Ads,84.47665842
159,Social Media Ads,51.17393006
160,Social Media Ads,88.13107217
161,Social Media Ads,55.5063666
162,Social Media Ads,90.74169207
163,Social Media Ads,98.17191158
164,Social Media Ads,58.58635363
165,Social Media Ads,94.26752258
166,Social Media Ads,83.25561854
167,Social Media Ads,91.4412032
168,Social Media Ads,112.9358597
169,Social Media Ads,70.09223768
170,Social Media Ads,59.92527671
171,Social Media Ads,57.20971141
172,Social Media Ads,58.6837943
173,Social Media Ads,73.45796581
174,Social Media Ads,81.8230395
175,Social Media Ads,80.53381599
176,Social Media Ads,91.54366498
177,Social Media Ads,75.26003784
178,Social Media Ads,104.0706815
179,Social Media Ads,69.70686334
180,Social Media Ads,129.4033833
181,Social Media Ads,87.51334696
182,Social Media Ads,57.85684887
183,Social Media Ads,53.58215004
184,Social Media Ads,84.6494483
185,Social Media Ads,70.53074429
186,Social Media Ads,89.28000988
187,Social Media Ads,84.46475249
188,Social Media Ads,73.54342175
189,Social Media Ads,58.06412564
190,Social Media Ads,44.70305551
191,Social Media Ads,66.06970096
192,Social Media Ads,92.12797589
193,Social Media Ads,79.28187488
194,Social Media Ads,50.08522443
195,Social Media Ads,78.46361852
196,Social Media Ads,82.70634759
197,Social Media Ads,57.32285128
198,Social Media Ads,78.07450212
199,Social Media Ads,76.16417437
200,Social Media Ads,52.14059404
201,Social Media Ads,82.15574721
202,Social Media Ads,86.21569053
203,Social Media Ads,96.66102486
204,Social Media Ads,96.07604104
205,Social Media Ads,47.44661264
206,Social Media Ads,56.2434992
207,Social Media Ads,85.30070534
208,Social Media Ads,85.27571902
209,Social Media Ads,85.30095373
210,Social Media Ads,152.0546298
211,Social Media Ads,86.41781021
212,Social Media Ads,97.7113128
213,Social Media Ads,94.08003527
214,Social Media Ads,88.02782503
215,Social Media Ads,68.69461511
216,Social Media Ads,90.17938441
217,Social Media Ads,59.54349571
218,Social Media Ads,70.26362787
219,Social Media Ads,65.29272904
220,Social Media Ads,76.63748279
221,Social Media Ads,121.2931713
222,Social Media Ads,37.65469615
223,Social Media Ads,88.72520381
224,Social Media Ads,42.74568258
225,Social Media Ads,65.56136268
226,Social Media Ads,96.77901194
227,Social Media Ads,76.28560038
228,Social Media Ads,53.44510444
229,Social Media Ads,60.69392581
230,Social Media Ads,88.59195498
231,Social Media Ads,60.39266737
232,Social Media Ads,79.32917179
233,Social Media Ads,75.9114368
234,Social Media Ads,61.96799305
235,Social Media Ads,117.8788818
236,Social Media Ads,87.67838045
237,Social Media Ads,34.49714827
238,Social Media Ads,78.7290863
239,Social Media Ads,61.7642707
240,Social Media Ads,92.0486667
241,Social Media Ads,59.14958523
242,Social Media Ads,72.70527117
243,Social Media Ads,85.09974558
244,Social Media Ads,92.31510388
245,Social Media Ads,50.99407186
246,Social Media Ads,68.30997528
247,Social Media Ads,65.50109378
248,Social Media Ads,61.93341535
249,Social Media Ads,110.3090848
250,Social Media Ads,83.09963422
251,Social Media Ads,49.78232091
252,Social Media Ads,93.35723894
253,Social Media Ads,117.4431239
254,Social Media Ads,95.64930521
